sci_name,com_name,class_name,common_name_de,common_name_es,common_name_pl,common_name_fr,common_name_nl,common_name_ru,common_name_ja,common_name_cs,common_name_ca,common_name_pt,common_name_no,common_name_bg,common_name_sv,common_name_da,common_name_tr,common_name_sk,common_name_sr,common_name_uk,common_name_zh-CN,common_name_fi,common_name_es_ES,common_name_es_MX,common_name_es_EC,common_name_pt_PT,common_name_hr,common_name_lt,common_name_fa,common_name_cy,common_name_et
Abeillia abeillei,Emerald-chinned Hummingbird,Aves,Smaragdkehlkolibri,Colibrí de Abeillé,zielaczek,Colibri d'Abeillé,Smaragdkeelkolibrie,Изумрудогорлый колибри,コバシハチドリ,kolibřík smaragdovohrdlý,colibrí d'Abeillé,emerald-chinned hummingbird,smaragdstrupekolibri,Смарагдовогушо колибри,smaragdstrupe,Smaragdstrube,Abeille Kolibrisi,kolibrík zelenobradý,Smaragdnobradi kolibri,Колібрі малахітовий,翠颏蜂鸟,viherleukakolibri,Colibrí de Abeillé,Colibrí Pico Corto,Colibrí de Abeillé,Emerald-chinned hummingbird,kratkokljuni kolibrić,Abeilija,مگسمرغ زمردچانه,Sïedn gên emrallt,smaragdkurk-koolibri
Abroscopus albogularis,Rufous-faced Warbler,Aves,Rostwangen-Dickichtsänger,Mosquitero Carirrufo,skrytoczub rdzawolicy,Bouscarle à moustaches,Roodwangboszanger,Рыжещёкая комарница,コシジロムシクイ,budníček rezavolící,abròscop cara-roig,rufous-faced warbler,rustmaskesanger,Ръждиволик певец,rostkindad cettia,Brunmasket Sanger,Kızıl Yüzlü Ötleğen,pradešan červenolíci,Rumenolika grmuša,Війчик рудощокий,棕脸鹟莺,pikkulehväkerttu,Mosquitero carirrufo,Mosquitero Carirrufo,Mosquitero Carirrufo,Rufous-faced warbler,riđolica svilorepa,Rudaveidė raštuotoji musinukė,سسک صورتحنایی,Gwybedog-delor gyddfwyn,pisi-rädilind
Abroscopus schisticeps,Black-faced Warbler,Aves,Schieferkopf-Dickichtsänger,Mosquitero Carinegro,skrytoczub ciemnolicy,Bouscarle à face noire,Zwartmaskerboszanger,Чернолицая комарница,カオグロムシクイ,budníček černolící,abròscop emmascarat,black-faced warbler,svartmaskesanger,Чернолик певец,svartkindad cettia,Sortmasket Sanger,Siyah Yüzlü Ötleğen,pradešan čiernolíci,Crnolika grmuša,Війчик чорнощокий,黑脸鹟莺,naamiolehväkerttu,Mosquitero carinegro,Mosquitero Carinegro,Mosquitero Carinegro,Black-faced warbler,crnolica svilorepa,Juodaveidė raštuotoji musinukė,سسک روسیاه,Gwybedog-delor wynebddu,mustpõsk-rädilind
Abroscopus superciliaris,Yellow-bellied Warbler,Aves,Bambusdickichtsänger,Mosquitero Cejiblanco,skrytoczub białobrewy,Bouscarle à sourcils blancs,Bamboeboszanger,Желтобрюхая комарница,マミジロムシクイ,budníček šedokorunkatý,abròscop cellablanc,yellow-bellied warbler,hvitbrynsanger,Жълтокорем певец,gulbukig cettia,Gulbuget Sanger,Sarı Karınlı Ötleğen,pradešan bambusový,Žutotrba grmuša,Війчик білобровий,黄腹鹟莺,bambulehväkerttu,Mosquitero cejiblanco,Mosquitero Cejiblanco,Mosquitero Cejiblanco,Yellow-bellied warbler,žutotrba svilorepa,Geltonpilvė raštuotoji musinukė,سسک شکمزرد,Gwybedog-delor torfelyn,bambuse-rädilind
Aburria aburri,Wattled Guan,Aves,Lappenguan,Pava Aburria,grdacz soplowaty,Pénélope aburri,Lelgoean,Серёжчатый гуан,ニクダレシャクケイ,guan aburri,guan camagroc,wattled guan,gulflikhokko,Голям черен гуан,flikguan,Lappepenelopehøne,Küpeli Guan,morkovec lalôčkový,Resasti guan,Абурі,肉垂冠雉,helttasaku,Pava aburria,Pava Aburria,Pava Carunculada (Aburrida),Wattled guan,plavokljuni guan,Aburija,شبخروش غبغبکی,Gwân tagellog,sireenhoko
Acanthagenys rufogularis,Spiny-cheeked Honeyeater,Aves,Braunkehl-Honigfresser,Mielero Golicanelo,kolcoliczek,Méliphage à bavette,Goudkeelhoningeter,Розовоклювый серёжкоух,ケミミミツスイ,medosavka modrooká,menjamel galtaespinós,spiny-cheeked honeyeater,rosennebbhonningeter,Ръждивогуш медояд,rosanäbbad honungsfågel,Grågumpet Honningæder,Diken Yanaklı Balkuşu,medárik hnedohrdlý,Oštrobrki medojed,Медолюб-дзвіночок,刺颊垂蜜鸟,mustapyrstömesikko,Mielero golicanelo,Mielero Golicanelo,Mielero Golicanelo,Spiny-cheeked honeyeater,ružičastokljuni medojed,Spiny-cheeked Honeyeater,عسلخوار چانهخاردار,Melysor barfog,Spiny-cheeked Honeyeater
Acanthidops bairdi,Peg-billed Finch,Aves,Vulkanammertangare,Yal Costarricense,bambusozięb ostrodzioby,Bec-en-cheville gris,Wigsnavelgors,Остроклювый овсяночник,ハシナガシトド,pěnkavka Bairdova,frigil becfí,peg-billed finch,spissnebbspurv,Тънкоклюна чинкова танагра,spetsnäbbad tangara,Spidsnæbbet Finke,Sivri Gagalı İspinoz,pinkavka sivá,Šiljokljuna zeba,Шиферка гостродзьоба,尖嘴雀鹀,kiilanokkasirkku,Yal costarricense,Yal Costarricense,Yal Costarricense,Peg-billed finch,klinastokljuni sjemenar,Peg-billed Finch,سهره نوکمیخی,Pila Baird,Peg-billed Finch
Acanthis cabaret,Acanthis cabaret,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthis flammea,Redpoll,Aves,Birkenzeisig,Pardillo Sizerín,czeczotka,Sizerin flammé,Barmsijs,Чечётка,ベニヒワ,čečetka zimní,passerell gorjanegre septentrional,pintarroxo-de-queixo-preto,gråsisik,Брезова скатия,gråsiska,Gråsisken,Huş İsketesi,stehlík čečetka,Juričica,Чечітка звичайна,白腰朱顶雀,urpiainen,Pardillo sizerín,Pardillo Sizerín,Pardillo Sizerín,Pintarroxo-de-queixo-preto,sjeverna juričica,Paprastasis čimčiakas,زلفقرمزی معمولی,Llinos bengoch gyffredin,urvalind
Acanthis hornemanni,Acanthis hornemanni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
