idx,id,sci_name,com_name,class,order
0,3,Abeillia abeillei,Emerald-chinned Hummingbird,Aves,Apodiformes
1,5,Abroscopus albogularis,Rufous-faced Warbler,Aves,Passeriformes
2,6,Abroscopus schisticeps,Black-faced Warbler,Aves,Passeriformes
3,7,Abroscopus superciliaris,Yellow-bellied Warbler,Aves,Passeriformes
4,9,Aburria aburri,Wattled Guan,Aves,Galliformes
5,12,Acanthagenys rufogularis,Spiny-cheeked Honeyeater,Aves,Passeriformes
6,13,Acanthidops bairdi,Peg-billed Finch,Aves,Passeriformes
7,15,Acanthis cabaret,Acanthis cabaret,Aves,Passeriformes
8,16,Acanthis flammea,Redpoll,Aves,Passeriformes
9,18,Acanthis hornemanni,Acanthis hornemanni,Aves,Passeriformes
10,19,Acanthisitta chloris,Rifleman,Aves,Passeriformes
11,20,Acanthiza apicalis,Inland Thornbill,Aves,Passeriformes
12,21,Acanthiza chrysorrhoa,Yellow-rumped Thornbill,Aves,Passeriformes
13,22,Acanthiza cinerea,Grey Thornbill,Aves,Passeriformes
14,23,Acanthiza ewingii,Tasmanian Thornbill,Aves,Passeriformes
15,24,Acanthiza inornata,Western Thornbill,Aves,Passeriformes
16,25,Acanthiza iredalei,Slender-billed Thornbill,Aves,Passeriformes
17,26,Acanthiza katherina,Mountain Thornbill,Aves,Passeriformes
18,27,Acanthiza lineata,Striated Thornbill,Aves,Passeriformes
19,28,Acanthiza murina,New Guinea Thornbill,Aves,Passeriformes
20,29,Acanthiza nana,Yellow Thornbill,Aves,Passeriformes
21,30,Acanthiza pusilla,Brown Thornbill,Aves,Passeriformes
22,31,Acanthiza reguloides,Buff-rumped Thornbill,Aves,Passeriformes
23,32,Acanthiza robustirostris,Slaty-backed Thornbill,Aves,Passeriformes
24,33,Acanthiza uropygialis,Chestnut-rumped Thornbill,Aves,Passeriformes
25,40,Acanthorhynchus superciliosus,Western Spinebill,Aves,Passeriformes
26,41,Acanthorhynchus tenuirostris,Eastern Spinebill,Aves,Passeriformes
27,42,Acanthornis magna,Scrubtit,Aves,Passeriformes
28,45,Acanthoventris drewseni,Acanthoventris drewseni,Insecta,Hemiptera
29,48,Tachyspiza albogularis,Pied Goshawk,Aves,Accipitriformes
30,49,Astur atricapillus,American Goshawk,Aves,Falconiformes
31,50,Astur gentilis,Eurasian Goshawk,Aves,Accipitriformes
32,51,Tachyspiza badia,Shikra,Aves,Accipitriformes
33,52,Astur bicolor,Bicolored Hawk,Aves,Accipitriformes
34,53,Tachyspiza brevipes,Levant Sparrowhawk,Aves,Accipitriformes
35,55,Astur chilensis,Chilean Hawk,Aves,Accipitriformes
36,56,Accipiter chionogaster,White-breasted Hawk,Aves,Accipitriformes
37,57,Tachyspiza cirrocephala,Collared Sparrowhawk,Aves,Accipitriformes
38,58,Microspizias collaris,Semicollared Hawk,Aves,Accipitriformes
39,60,Astur cooperii,Cooper's Hawk,Aves,Accipitriformes
40,61,Tachyspiza erythrauchen,Rufous-necked Sparrowhawk,Aves,Accipitriformes
41,62,Accipiter erythronemius,Rufous-thighed Hawk,Aves,Accipitriformes
42,64,Tachyspiza fasciata,Brown Goshawk,Aves,Accipitriformes
43,65,Tachyspiza francesiae,Frances's Sparrowhawk,Aves,Accipitriformes
44,67,Tachyspiza gularis,Japanese Sparrowhawk,Aves,Accipitriformes
45,68,Astur gundlachi,Gundlach's Hawk,Aves,Accipitriformes
46,69,Tachyspiza haplochroa,White-bellied Goshawk,Aves,Accipitriformes
47,70,Tachyspiza henicogramma,Moluccan Goshawk,Aves,Accipitriformes
48,71,Astur henstii,Henst's Goshawk,Aves,Accipitriformes
49,72,Tachyspiza hiogaster,Variable Goshawk,Aves,Accipitriformes
50,73,Accipiter madagascariensis,Madagascar Sparrowhawk,Aves,Accipitriformes
51,75,Astur melanoleucus,Black Sparrowhawk,Aves,Accipitriformes
52,77,Tachyspiza minulla,Little Sparrowhawk,Aves,Accipitriformes
53,79,Accipiter nisus,Eurasian Sparrowhawk,Aves,Accipitriformes
54,80,Tachyspiza novaehollandiae,Grey Goshawk,Aves,Accipitriformes
55,81,Accipiter ovampensis,Ovambo Sparrowhawk,Aves,Accipitriformes
56,83,Accipiter poliogaster,Grey-bellied Hawk,Aves,Accipitriformes
57,84,Tachyspiza rhodogaster,Vinous-breasted Sparrowhawk,Aves,Accipitriformes
58,85,Tachyspiza rufitorques,Fiji Goshawk,Aves,Accipitriformes
59,86,Accipiter rufiventris,Rufous-breasted Sparrowhawk,Aves,Accipitriformes
60,87,Tachyspiza soloensis,Chinese Sparrowhawk,Aves,Accipitriformes
61,88,Accipiter striatus,Sharp-shinned Hawk,Aves,Accipitriformes
62,89,Microspizias superciliosus,Tiny Hawk,Aves,Accipitriformes
63,91,Aerospiza tachiro,African Goshawk,Aves,Accipitriformes
64,92,Accipiter toussenelii,Accipiter toussenelii,Aves,Accipitriformes
