Scientific_name,English_name_AviList,Portuguese (Portugal),IUCN_Red_List_Category
Struthioniformes,,,
Struthionidae,,,
Struthio,,,
Struthio molybdophanes,Somali Ostrich,Avestruz-da-etiópia,VU
Struthio camelus,Common Ostrich,Avestruz-comum,LC
Struthio camelus syriacus,,,
Struthio camelus camelus,,,
Struthio camelus massaicus,,,
Struthio camelus australis,,,
Casuariiformes,,,
Casuariidae,,,
Dromaius,,,
Dromaius novaehollandiae,Emu,Emu,NE
Dromaius novaehollandiae novaehollandiae,,,
Dromaius novaehollandiae diemenensis,,,
Dromaius novaehollandiae minor,,,
Dromaius novaehollandiae baudinianus,,,
Casuarius,,,
Casuarius casuarius,Southern Cassowary,Southern cassowary,LC
Casuarius bennetti,Dwarf Cassowary,Dwarf cassowary,LC
Casuarius bennetti westermanni,,,
Casuarius bennetti bennetti,,,
Casuarius unappendiculatus,Northern Cassowary,Northern cassowary,LC
Apterygiformes,,,
Apterygidae,,,
Apteryx,,,
Apteryx owenii,Little Spotted Kiwi,Little spotted kiwi,NT
Apteryx maxima,Great Spotted Kiwi,Great spotted kiwi,VU
Apteryx australis,Southern Brown Kiwi,Southern brown kiwi,VU
Apteryx australis australis,,,
Apteryx australis lawryi,,,
Apteryx rowi,Okarito Kiwi,Okarito brown kiwi,VU
Apteryx mantelli,North Island Brown Kiwi,North island brown kiwi,VU
Rheiformes,,,
Rheidae,,,
Rhea,,,
Rhea pennata,Lesser Rhea,Lesser rhea,LC
Rhea pennata garleppi,,,
Rhea pennata tarapacensis,,,
Rhea pennata pennata,,,
Rhea americana,Greater Rhea,Nandu-grande,NT
Rhea americana americana,,,
Rhea americana intermedia,,,
Rhea americana nobilis,,,
Rhea americana araneipes,,,
Rhea americana albescens,,,
Tinamiformes,,,
Tinamidae,,,
Tinamotis,,,
Tinamotis pentlandii,Puna Tinamou,Puna tinamou,LC
Tinamotis ingoufi,Patagonian Tinamou,Patagonian tinamou,LC
Eudromia,,,
Eudromia formosa,Quebracho Crested Tinamou,Quebracho crested-tinamou,LC
Eudromia formosa formosa,,,
Eudromia formosa mira,,,
Eudromia elegans,Elegant Crested Tinamou,Elegant crested-tinamou,LC
Eudromia elegans intermedia,,,
Eudromia elegans magnistriata,,,
Eudromia elegans riojana,,,
Eudromia elegans albida,,,
Eudromia elegans wetmorei,,,
Eudromia elegans numida,,,
Eudromia elegans elegans,,,
Eudromia elegans multiguttata,,,
Eudromia elegans devia,,,
Eudromia elegans patagonica,,,
Taoniscus,,,
Taoniscus nanus,Dwarf Tinamou,Inhambu-carapé,EN
Nothura,,,
Nothura boraquira,White-bellied Nothura,Codorna-do-nordeste,LC
Nothura minor,Lesser Nothura,Codorna-mineira,VU
Nothura darwinii,Darwin's Nothura,Darwin's nothura,LC
Nothura darwinii peruviana,,,
Nothura darwinii agassizii,,,
Nothura darwinii boliviana,,,
Nothura darwinii salvadorii,,,
Nothura darwinii darwinii,,,
Nothura maculosa,Spotted Nothura,Codorna-amarela,LC
Nothura maculosa cearensis,,,
Nothura maculosa major,,,
Nothura maculosa paludivaga,,,
Nothura maculosa maculosa,,,
Nothura maculosa pallida,,,
Nothura maculosa annectens,,,
Nothura maculosa submontana,,,
Nothura maculosa nigroguttata,,,
Nothura maculosa chacoensis,,,
Rhynchotus,,,
Rhynchotus maculicollis,Huayco Tinamou,Huayco tinamou,LC
Rhynchotus rufescens,Red-winged Tinamou,Perdiz-do-brasil,LC
Rhynchotus rufescens catingae,,,
Rhynchotus rufescens pallescens,,,
Rhynchotus rufescens rufescens,,,
Nothoprocta,,,
Nothoprocta taczanowskii,Taczanowski's Tinamou,Taczanowski's tinamou,VU
Nothoprocta ornata,Ornate Tinamou,Ornate tinamou,LC
Nothoprocta ornata branickii,,,
Nothoprocta ornata ornata,,,
Nothoprocta ornata rostrata,,,
Nothoprocta perdicaria,Chilean Tinamou,Chilean tinamou,LC
Nothoprocta perdicaria perdicaria,,,
Nothoprocta perdicaria sanborni,,,
Nothoprocta cinerascens,Brushland Tinamou,Brushland tinamou,LC
Nothoprocta cinerascens cinerascens,,,
Nothoprocta cinerascens parvimaculata,,,
Nothoprocta pentlandii,Andean Tinamou,Andean tinamou,LC
Nothoprocta pentlandii ambigua,,,
Nothoprocta pentlandii niethammeri,,,
Nothoprocta pentlandii oustaleti,,,
Nothoprocta pentlandii fulvescens,,,
Nothoprocta pentlandii pentlandii,,,
Nothoprocta pentlandii patriciae,,,
Nothoprocta pentlandii mendozae,,,
Nothoprocta pentlandii doeringi,,,
Nothoprocta curvirostris,Curve-billed Tinamou,Curve-billed tinamou,LC
Nothoprocta curvirostris curvirostris,,,
Nothoprocta curvirostris peruviana,,,
Nothocercus,,,
Nothocercus julius,Tawny-breasted Tinamou,Tawny-breasted tinamou,LC
Nothocercus bonapartei,Highland Tinamou,Highland tinamou,LC
Nothocercus bonapartei frantzii,,,
Nothocercus bonapartei bonapartei,,,
Nothocercus bonapartei intercedens,,,
Nothocercus bonapartei discrepans,,,
Nothocercus bonapartei plumbeiceps,,,
Nothocercus nigrocapillus,Hooded Tinamou,Hooded tinamou,LC
Nothocercus nigrocapillus cadwaladeri,,,
Nothocercus nigrocapillus nigrocapillus,,,
Tinamus,,,
Tinamus tao,Grey Tinamou,Azulona,VU
Tinamus tao larensis,,,
Tinamus tao septentrionalis,,,
Tinamus tao tao,,,
Tinamus tao kleei,,,
Tinamus solitarius,Solitary Tinamou,Macuco,NT
Tinamus osgoodi,Black Tinamou,Black tinamou,VU
Tinamus osgoodi hershkovitzi,,,
Tinamus osgoodi osgoodi,,,
Tinamus major,Great Tinamou,Inhambu-de-cabeça-vermelha,LC
Tinamus major robustus,,,
Tinamus major percautus,,,
Tinamus major fuscipennis,,,
Tinamus major brunneiventris,,,
Tinamus major castaneiceps,,,
Tinamus major saturatus,,,
Tinamus major zuliensis,,,
Tinamus major latifrons,,,
Tinamus major major,,,
Tinamus major serratus,,,
Tinamus major olivascens,,,
Tinamus major peruvianus,,,
Tinamus guttatus,White-throated Tinamou,Inhambu-galinha,NT
Crypturellus,,,
Crypturellus cinereus,Cinereous Tinamou,Inhambu-preto,LC
Crypturellus berlepschi,Berlepsch's Tinamou,Berlepsch's tinamou,LC
Crypturellus soui,Little Tinamou,Tururim,LC
Crypturellus soui meserythrus,,,
Crypturellus soui modestus,,,
Crypturellus soui capnodes,,,
Crypturellus soui poliocephalus,,,
Crypturellus soui panamensis,,,
Crypturellus soui mustelinus,,,
Crypturellus soui soui,,,
Crypturellus soui andrei,,,
Crypturellus soui caucae,,,
Crypturellus soui harterti,,,
Crypturellus soui caquetae,,,
Crypturellus soui nigriceps,,,
Crypturellus soui albigularis,,,
Crypturellus soui inconspicuus,,,
Crypturellus ptaritepui,Tepui Tinamou,Tepui tinamou,LC
Crypturellus obsoletus,Brown Tinamou,Inhambuguaçu,LC
Crypturellus obsoletus cerviniventris,,,
Crypturellus obsoletus knoxi,,,
Crypturellus obsoletus castaneus,,,
Crypturellus obsoletus ochraceiventris,,,
Crypturellus obsoletus traylori,,,
Crypturellus obsoletus punensis,,,
Crypturellus obsoletus griseiventris,,,
Crypturellus obsoletus hypochraceus,,,
Crypturellus obsoletus obsoletus,,,
Crypturellus undulatus,Undulated Tinamou,Jaó,LC
Crypturellus undulatus manapiare,,,
Crypturellus undulatus simplex,,,
Crypturellus undulatus yapura,,,
Crypturellus undulatus adspersus,,,
Crypturellus undulatus vermiculatus,,,
Crypturellus undulatus undulatus,,,
Crypturellus transfasciatus,Pale-browed Tinamou,Pale-browed tinamou,NT
Crypturellus strigulosus,Brazilian Tinamou,Inhambu-relógio,LC
Crypturellus duidae,Grey-legged Tinamou,Inhambu-de-patas-cinzentas,LC
Crypturellus erythropus,Red-legged Tinamou,Inhambu-de-pernas-vermelhas,LC
Crypturellus erythropus cursitans,,,
Crypturellus erythropus idoneus,,,
Crypturellus erythropus columbianus,,,
Crypturellus erythropus saltuarius,,,
Crypturellus erythropus spencei,,,
Crypturellus erythropus margaritae,,,
Crypturellus erythropus erythropus,,,
Crypturellus noctivagus,Yellow-legged Tinamou,Jaó-do-sul,NT
Crypturellus noctivagus zabele,,,
Crypturellus noctivagus noctivagus,,,
Crypturellus atrocapillus,Black-capped Tinamou,Inhambu-de-coroa-preta,LC
Crypturellus atrocapillus atrocapillus,,,
Crypturellus atrocapillus garleppi,,,
Crypturellus boucardi,Slaty-breasted Tinamou,Slaty-breasted tinamou,VU
Crypturellus boucardi boucardi,,,
Crypturellus boucardi costaricensis,,,
Crypturellus kerriae,Choco Tinamou,Choco tinamou,NT
Crypturellus variegatus,Variegated Tinamou,Inhambu-anhangá,LC
Crypturellus cinnamomeus,Thicket Tinamou,Thicket tinamou,LC
Crypturellus cinnamomeus occidentalis,,,
Crypturellus cinnamomeus mexicanus,,,
Crypturellus cinnamomeus soconuscensis,,,
Crypturellus cinnamomeus vicinior,,,
Crypturellus cinnamomeus sallaei,,,
Crypturellus cinnamomeus goldmani,,,
Crypturellus cinnamomeus cinnamomeus,,,
Crypturellus cinnamomeus delattrii,,,
Crypturellus cinnamomeus praepes,,,
Crypturellus brevirostris,Rusty Tinamou,Inhambu-carijó,LC
Crypturellus bartletti,Bartlett's Tinamou,Inhambu-anhangaí,LC
Crypturellus parvirostris,Small-billed Tinamou,Inhambu-chororó,LC
Crypturellus casiquiare,Barred Tinamou,Barred tinamou,LC
Crypturellus tataupa,Tataupa Tinamou,Inhambu-chintã,LC
Crypturellus tataupa inops,,,
Crypturellus tataupa lepidotus,,,
Crypturellus tataupa peruvianus,,,
Crypturellus tataupa tataupa,,,
Anseriformes,,,
Anhimidae,,,
Anhima,,,
Anhima cornuta,Horned Screamer,Anhuma,LC
Chauna,,,
Chauna chavaria,Northern Screamer,Northern screamer,LC
Chauna torquata,Southern Screamer,Tachã,LC
Anseranatidae,,,
Anseranas,,,
Anseranas semipalmata,Magpie Goose,Magpie goose,LC
Anatidae,,,
Thalassornis,,,
Thalassornis leuconotus,White-backed Duck,White-backed duck,LC
Thalassornis leuconotus leuconotus,,,
Thalassornis leuconotus insularis,,,
Dendrocygna,,,
Dendrocygna guttata,Spotted Whistling Duck,Spotted whistling-duck,LC
Dendrocygna eytoni,Plumed Whistling Duck,Plumed whistling-duck,LC
Dendrocygna viduata,White-faced Whistling Duck,Irerê,LC
Dendrocygna autumnalis,Black-bellied Whistling Duck,Marreca-d'asa-branca,LC
Dendrocygna autumnalis fulgens,,,
Dendrocygna autumnalis autumnalis,,,
Dendrocygna arborea,West Indian Whistling Duck,West indian whistling-duck,NT
Dendrocygna bicolor,Fulvous Whistling Duck,Marreca-caneleira,LC
Dendrocygna arcuata,Wandering Whistling Duck,Wandering whistling-duck,LC
Dendrocygna arcuata arcuata,,,
Dendrocygna arcuata pygmaea,,,
Dendrocygna arcuata australis,,,
Dendrocygna javanica,Lesser Whistling Duck,Marreca-de-java,LC
Biziura,,,
Biziura lobata,Musk Duck,Musk duck,LC
Biziura lobata lobata,,,
Biziura lobata menziesi,,,
Nettapus,,,
Nettapus pulchellus,Green Pygmy Goose,Gansinho-australiano,LC
Nettapus coromandelianus,Cotton Pygmy Goose,Gansinho-oriental,LC
Nettapus coromandelianus coromandelianus,,,
Nettapus coromandelianus albipennis,,,
Nettapus auritus,African Pygmy Goose,Pato-orelhudo,LC
Stictonetta,,,
Stictonetta naevosa,Freckled Duck,Freckled duck,LC
Heteronetta,,,
Heteronetta atricapilla,Black-headed Duck,Marreca-de-cabeça-preta,LC
Nomonyx,,,
Nomonyx dominicus,Masked Duck,Marreca-de-bico-roxo,LC
Oxyura,,,
Oxyura leucocephala,White-headed Duck,Pato-rabo-alçado,EN
Oxyura australis,Blue-billed Duck,Blue-billed duck,LC
Oxyura maccoa,Maccoa Duck,Maccoa duck,EN
Oxyura vittata,Lake Duck,Marreca-pé-na-bunda,LC
Oxyura jamaicensis,Ruddy Duck,,NE
Oxyura jamaicensis jamaicensis,,,
Oxyura jamaicensis ferruginea,,,
Oxyura jamaicensis andina,,,
Plectropterus,,,
Plectropterus gambensis,Spur-winged Goose,Pato-ferrão,LC
Plectropterus gambensis gambensis,,,
Plectropterus gambensis niger,,,
Malacorhynchus,,,
Malacorhynchus membranaceus,Pink-eared Duck,Pink-eared duck,LC
Coscoroba,,,
Coscoroba coscoroba,Coscoroba Swan,Capororoca,LC
Cereopsis,,,
Cereopsis novaehollandiae,Cape Barren Goose,Cape barren goose,LC
Cereopsis novaehollandiae novaehollandiae,,,
Cereopsis novaehollandiae grisea,,,
Cygnus,,,
