Scientific_name,English_name_AviList,Portuguese (Brazil),IUCN_Red_List_Category
Struthioniformes,,,
Struthionidae,,,
Struthio,,,
Struthio molybdophanes,Somali Ostrich,avestruz-da-etiópia,VU
Struthio camelus,Common Ostrich,avestruz-comum,LC
Struthio camelus syriacus,,,
Struthio camelus camelus,,,
Struthio camelus massaicus,,,
Struthio camelus australis,,,
Casuariiformes,,,
Casuariidae,,,
Dromaius,,,
Dromaius novaehollandiae,Emu,emu,NE
Dromaius novaehollandiae novaehollandiae,,,
Dromaius novaehollandiae diemenensis,,,
Dromaius novaehollandiae minor,,,
Dromaius novaehollandiae baudinianus,,,
Casuarius,,,
Casuarius casuarius,Southern Cassowary,southern cassowary,LC
Casuarius bennetti,Dwarf Cassowary,dwarf cassowary,LC
Casuarius bennetti westermanni,,,
Casuarius bennetti bennetti,,,
Casuarius unappendiculatus,Northern Cassowary,northern cassowary,LC
Apterygiformes,,,
Apterygidae,,,
Apteryx,,,
Apteryx owenii,Little Spotted Kiwi,little spotted kiwi,NT
Apteryx maxima,Great Spotted Kiwi,great spotted kiwi,VU
Apteryx australis,Southern Brown Kiwi,southern brown kiwi,VU
Apteryx australis australis,,,
Apteryx australis lawryi,,,
Apteryx rowi,Okarito Kiwi,okarito brown kiwi,VU
Apteryx mantelli,North Island Brown Kiwi,north island brown kiwi,VU
Rheiformes,,,
Rheidae,,,
Rhea,,,
Rhea pennata,Lesser Rhea,lesser rhea,LC
Rhea pennata garleppi,,,
Rhea pennata tarapacensis,,,
Rhea pennata pennata,,,
Rhea americana,Greater Rhea,ema,NT
Rhea americana americana,,,
Rhea americana intermedia,,,
Rhea americana nobilis,,,
Rhea americana araneipes,,,
Rhea americana albescens,,,
Tinamiformes,,,
Tinamidae,,,
Tinamotis,,,
Tinamotis pentlandii,Puna Tinamou,puna tinamou,LC
Tinamotis ingoufi,Patagonian Tinamou,patagonian tinamou,LC
Eudromia,,,
Eudromia formosa,Quebracho Crested Tinamou,quebracho crested-tinamou,LC
Eudromia formosa formosa,,,
Eudromia formosa mira,,,
Eudromia elegans,Elegant Crested Tinamou,elegant crested-tinamou,LC
Eudromia elegans intermedia,,,
Eudromia elegans magnistriata,,,
Eudromia elegans riojana,,,
Eudromia elegans albida,,,
Eudromia elegans wetmorei,,,
Eudromia elegans numida,,,
Eudromia elegans elegans,,,
Eudromia elegans multiguttata,,,
Eudromia elegans devia,,,
Eudromia elegans patagonica,,,
Taoniscus,,,
Taoniscus nanus,Dwarf Tinamou,codorna-carapé,EN
Nothura,,,
Nothura boraquira,White-bellied Nothura,codorna-do-nordeste,LC
Nothura minor,Lesser Nothura,codorna-mineira,VU
Nothura darwinii,Darwin's Nothura,darwin's nothura,LC
Nothura darwinii peruviana,,,
Nothura darwinii agassizii,,,
Nothura darwinii boliviana,,,
Nothura darwinii salvadorii,,,
Nothura darwinii darwinii,,,
Nothura maculosa,Spotted Nothura,codorna-amarela,LC
Nothura maculosa cearensis,,,
Nothura maculosa major,,,
Nothura maculosa paludivaga,,,
Nothura maculosa maculosa,,,
Nothura maculosa pallida,,,
Nothura maculosa annectens,,,
Nothura maculosa submontana,,,
Nothura maculosa nigroguttata,,,
Nothura maculosa chacoensis,,,
Rhynchotus,,,
Rhynchotus maculicollis,Huayco Tinamou,huayco tinamou,LC
Rhynchotus rufescens,Red-winged Tinamou,perdiz,LC
Rhynchotus rufescens catingae,,,
Rhynchotus rufescens pallescens,,,
Rhynchotus rufescens rufescens,,,
Nothoprocta,,,
Nothoprocta taczanowskii,Taczanowski's Tinamou,taczanowski's tinamou,VU
Nothoprocta ornata,Ornate Tinamou,ornate tinamou,LC
Nothoprocta ornata branickii,,,
Nothoprocta ornata ornata,,,
Nothoprocta ornata rostrata,,,
Nothoprocta perdicaria,Chilean Tinamou,chilean tinamou,LC
Nothoprocta perdicaria perdicaria,,,
Nothoprocta perdicaria sanborni,,,
Nothoprocta cinerascens,Brushland Tinamou,brushland tinamou,LC
Nothoprocta cinerascens cinerascens,,,
Nothoprocta cinerascens parvimaculata,,,
Nothoprocta pentlandii,Andean Tinamou,andean tinamou,LC
Nothoprocta pentlandii ambigua,,,
Nothoprocta pentlandii niethammeri,,,
Nothoprocta pentlandii oustaleti,,,
Nothoprocta pentlandii fulvescens,,,
Nothoprocta pentlandii pentlandii,,,
Nothoprocta pentlandii patriciae,,,
Nothoprocta pentlandii mendozae,,,
Nothoprocta pentlandii doeringi,,,
Nothoprocta curvirostris,Curve-billed Tinamou,curve-billed tinamou,LC
Nothoprocta curvirostris curvirostris,,,
Nothoprocta curvirostris peruviana,,,
Nothocercus,,,
Nothocercus julius,Tawny-breasted Tinamou,tawny-breasted tinamou,LC
Nothocercus bonapartei,Highland Tinamou,highland tinamou,LC
Nothocercus bonapartei frantzii,,,
Nothocercus bonapartei bonapartei,,,
Nothocercus bonapartei intercedens,,,
Nothocercus bonapartei discrepans,,,
Nothocercus bonapartei plumbeiceps,,,
Nothocercus nigrocapillus,Hooded Tinamou,hooded tinamou,LC
Nothocercus nigrocapillus cadwaladeri,,,
Nothocercus nigrocapillus nigrocapillus,,,
Tinamus,,,
Tinamus tao,Grey Tinamou,azulona,VU
Tinamus tao larensis,,,
Tinamus tao septentrionalis,,,
Tinamus tao tao,,,
Tinamus tao kleei,,,
Tinamus solitarius,Solitary Tinamou,macuco,NT
Tinamus osgoodi,Black Tinamou,black tinamou,VU
Tinamus osgoodi hershkovitzi,,,
Tinamus osgoodi osgoodi,,,
Tinamus major,Great Tinamou,inhambu-serra,LC
Tinamus major robustus,,,
Tinamus major percautus,,,
Tinamus major fuscipennis,,,
Tinamus major brunneiventris,,,
Tinamus major castaneiceps,,,
Tinamus major saturatus,,,
Tinamus major zuliensis,,,
Tinamus major latifrons,,,
Tinamus major major,,,
Tinamus major serratus,,,
Tinamus major olivascens,,,
Tinamus major peruvianus,,,
Tinamus guttatus,White-throated Tinamou,inhambu-galinha,NT
Crypturellus,,,
Crypturellus cinereus,Cinereous Tinamou,inhambu-pixuna,LC
Crypturellus berlepschi,Berlepsch's Tinamou,berlepsch's tinamou,LC
Crypturellus soui,Little Tinamou,tururim,LC
Crypturellus soui meserythrus,,,
Crypturellus soui modestus,,,
Crypturellus soui capnodes,,,
Crypturellus soui poliocephalus,,,
Crypturellus soui panamensis,,,
Crypturellus soui mustelinus,,,
Crypturellus soui soui,,,
Crypturellus soui andrei,,,
Crypturellus soui caucae,,,
Crypturellus soui harterti,,,
Crypturellus soui caquetae,,,
Crypturellus soui nigriceps,,,
Crypturellus soui albigularis,,,
Crypturellus soui inconspicuus,,,
Crypturellus ptaritepui,Tepui Tinamou,tepui tinamou,LC
Crypturellus obsoletus,Brown Tinamou,inhambuguaçu,LC
Crypturellus obsoletus cerviniventris,,,
Crypturellus obsoletus knoxi,,,
Crypturellus obsoletus castaneus,,,
Crypturellus obsoletus ochraceiventris,,,
Crypturellus obsoletus traylori,,,
Crypturellus obsoletus punensis,,,
Crypturellus obsoletus griseiventris,,,
Crypturellus obsoletus hypochraceus,,,
Crypturellus obsoletus obsoletus,,,
Crypturellus undulatus,Undulated Tinamou,jaó,LC
Crypturellus undulatus manapiare,,,
Crypturellus undulatus simplex,,,
Crypturellus undulatus yapura,,,
Crypturellus undulatus adspersus,,,
Crypturellus undulatus vermiculatus,,,
Crypturellus undulatus undulatus,,,
Crypturellus transfasciatus,Pale-browed Tinamou,pale-browed tinamou,NT
Crypturellus strigulosus,Brazilian Tinamou,inhambu-relógio,LC
Crypturellus duidae,Grey-legged Tinamou,inhambu-de-pé-cinza,LC
Crypturellus erythropus,Red-legged Tinamou,inhambu-de-perna-vermelha,LC
Crypturellus erythropus cursitans,,,
Crypturellus erythropus idoneus,,,
Crypturellus erythropus columbianus,,,
Crypturellus erythropus saltuarius,,,
Crypturellus erythropus spencei,,,
Crypturellus erythropus margaritae,,,
Crypturellus erythropus erythropus,,,
Crypturellus noctivagus,Yellow-legged Tinamou,jaó-do-sul/zabelê,NT
Crypturellus noctivagus zabele,,,
Crypturellus noctivagus noctivagus,,,
Crypturellus atrocapillus,Black-capped Tinamou,inhambu-de-coroa-preta,LC
Crypturellus atrocapillus atrocapillus,,,
Crypturellus atrocapillus garleppi,,,
Crypturellus boucardi,Slaty-breasted Tinamou,slaty-breasted tinamou,VU
Crypturellus boucardi boucardi,,,
Crypturellus boucardi costaricensis,,,
Crypturellus kerriae,Choco Tinamou,choco tinamou,NT
Crypturellus variegatus,Variegated Tinamou,inhambu-anhangá,LC
Crypturellus cinnamomeus,Thicket Tinamou,thicket tinamou,LC
Crypturellus cinnamomeus occidentalis,,,
Crypturellus cinnamomeus mexicanus,,,
Crypturellus cinnamomeus soconuscensis,,,
Crypturellus cinnamomeus vicinior,,,
Crypturellus cinnamomeus sallaei,,,
Crypturellus cinnamomeus goldmani,,,
Crypturellus cinnamomeus cinnamomeus,,,
Crypturellus cinnamomeus delattrii,,,
Crypturellus cinnamomeus praepes,,,
Crypturellus brevirostris,Rusty Tinamou,inhambu-carijó,LC
Crypturellus bartletti,Bartlett's Tinamou,inhambu-anhangaí,LC
Crypturellus parvirostris,Small-billed Tinamou,inhambu-chororó,LC
Crypturellus casiquiare,Barred Tinamou,barred tinamou,LC
Crypturellus tataupa,Tataupa Tinamou,inhambu-chintã,LC
Crypturellus tataupa inops,,,
Crypturellus tataupa lepidotus,,,
Crypturellus tataupa peruvianus,,,
Crypturellus tataupa tataupa,,,
Anseriformes,,,
Anhimidae,,,
Anhima,,,
Anhima cornuta,Horned Screamer,anhuma,LC
Chauna,,,
Chauna chavaria,Northern Screamer,northern screamer,LC
Chauna torquata,Southern Screamer,tachã,LC
Anseranatidae,,,
Anseranas,,,
Anseranas semipalmata,Magpie Goose,magpie goose,LC
Anatidae,,,
Thalassornis,,,
Thalassornis leuconotus,White-backed Duck,white-backed duck,LC
Thalassornis leuconotus leuconotus,,,
Thalassornis leuconotus insularis,,,
Dendrocygna,,,
Dendrocygna guttata,Spotted Whistling Duck,spotted whistling-duck,LC
Dendrocygna eytoni,Plumed Whistling Duck,plumed whistling-duck,LC
Dendrocygna viduata,White-faced Whistling Duck,irerê,LC
Dendrocygna autumnalis,Black-bellied Whistling Duck,marreca-cabocla,LC
Dendrocygna autumnalis fulgens,,,
Dendrocygna autumnalis autumnalis,,,
Dendrocygna arborea,West Indian Whistling Duck,west indian whistling-duck,NT
Dendrocygna bicolor,Fulvous Whistling Duck,marreca-caneleira,LC
Dendrocygna arcuata,Wandering Whistling Duck,wandering whistling-duck,LC
Dendrocygna arcuata arcuata,,,
Dendrocygna arcuata pygmaea,,,
Dendrocygna arcuata australis,,,
Dendrocygna javanica,Lesser Whistling Duck,marreca-de-java,LC
Biziura,,,
Biziura lobata,Musk Duck,musk duck,LC
Biziura lobata lobata,,,
Biziura lobata menziesi,,,
Nettapus,,,
Nettapus pulchellus,Green Pygmy Goose,gansinho-australiano,LC
Nettapus coromandelianus,Cotton Pygmy Goose,gansinho-oriental,LC
Nettapus coromandelianus coromandelianus,,,
Nettapus coromandelianus albipennis,,,
Nettapus auritus,African Pygmy Goose,pato-orelhudo,LC
Stictonetta,,,
Stictonetta naevosa,Freckled Duck,freckled duck,LC
Heteronetta,,,
Heteronetta atricapilla,Black-headed Duck,marreca-de-cabeça-preta,LC
Nomonyx,,,
Nomonyx dominicus,Masked Duck,marreca-caucau,LC
Oxyura,,,
Oxyura leucocephala,White-headed Duck,pato-rabo-alçado,EN
Oxyura australis,Blue-billed Duck,blue-billed duck,LC
Oxyura maccoa,Maccoa Duck,maccoa duck,EN
Oxyura vittata,Lake Duck,marreca-rabo-de-espinho,LC
Oxyura jamaicensis,Ruddy Duck,,NE
Oxyura jamaicensis jamaicensis,,,
Oxyura jamaicensis ferruginea,,,
Oxyura jamaicensis andina,,,
Plectropterus,,,
Plectropterus gambensis,Spur-winged Goose,pato-ferrão,LC
Plectropterus gambensis gambensis,,,
Plectropterus gambensis niger,,,
Malacorhynchus,,,
Malacorhynchus membranaceus,Pink-eared Duck,pink-eared duck,LC
Coscoroba,,,
Coscoroba coscoroba,Coscoroba Swan,capororoca,LC
Cereopsis,,,
Cereopsis novaehollandiae,Cape Barren Goose,cape barren goose,LC
Cereopsis novaehollandiae novaehollandiae,,,
Cereopsis novaehollandiae grisea,,,
Cygnus,,,
Cygnus melancoryphus,Black-necked Swan,cisne-de-pescoço-preto,LC
Cygnus olor,Mute Swan,cisne-mudo,LC
Cygnus atratus,Black Swan,cisne-preto,LC
