Scientific_name,English_name_AviList,Romanian,IUCN_Red_List_Category
Struthioniformes,,,
Struthionidae,,,
Struthio,,,
Struthio molybdophanes,Somali Ostrich,Somali Ostrich,VU
Struthio camelus,Common Ostrich,Struț,LC
Struthio camelus syriacus,,,
Struthio camelus camelus,,,
Struthio camelus massaicus,,,
Struthio camelus australis,,,
Casuariiformes,,,
Casuariidae,,,
Dromaius,,,
Dromaius novaehollandiae,Emu,Emu,NE
Dromaius novaehollandiae novaehollandiae,,,
Dromaius novaehollandiae diemenensis,,,
Dromaius novaehollandiae minor,,,
Dromaius novaehollandiae baudinianus,,,
Casuarius,,,
Casuarius casuarius,Southern Cassowary,Southern Cassowary,LC
Casuarius bennetti,Dwarf Cassowary,Dwarf Cassowary,LC
Casuarius bennetti westermanni,,,
Casuarius bennetti bennetti,,,
Casuarius unappendiculatus,Northern Cassowary,Northern Cassowary,LC
Apterygiformes,,,
Apterygidae,,,
Apteryx,,,
Apteryx owenii,Little Spotted Kiwi,Little Spotted Kiwi,NT
Apteryx maxima,Great Spotted Kiwi,Great Spotted Kiwi,VU
Apteryx australis,Southern Brown Kiwi,Southern Brown Kiwi,VU
Apteryx australis australis,,,
Apteryx australis lawryi,,,
Apteryx rowi,Okarito Kiwi,Okarito Brown Kiwi,VU
Apteryx mantelli,North Island Brown Kiwi,North Island Brown Kiwi,VU
Rheiformes,,,
Rheidae,,,
Rhea,,,
Rhea pennata,Lesser Rhea,Lesser Rhea,LC
Rhea pennata garleppi,,,
Rhea pennata tarapacensis,,,
Rhea pennata pennata,,,
Rhea americana,Greater Rhea,Greater Rhea,NT
Rhea americana americana,,,
Rhea americana intermedia,,,
Rhea americana nobilis,,,
Rhea americana araneipes,,,
Rhea americana albescens,,,
Tinamiformes,,,
Tinamidae,,,
Tinamotis,,,
Tinamotis pentlandii,Puna Tinamou,Puna Tinamou,LC
Tinamotis ingoufi,Patagonian Tinamou,Patagonian Tinamou,LC
Eudromia,,,
Eudromia formosa,Quebracho Crested Tinamou,Quebracho Crested-Tinamou,LC
Eudromia formosa formosa,,,
Eudromia formosa mira,,,
Eudromia elegans,Elegant Crested Tinamou,Elegant Crested-Tinamou,LC
Eudromia elegans intermedia,,,
Eudromia elegans magnistriata,,,
Eudromia elegans riojana,,,
Eudromia elegans albida,,,
Eudromia elegans wetmorei,,,
Eudromia elegans numida,,,
Eudromia elegans elegans,,,
Eudromia elegans multiguttata,,,
Eudromia elegans devia,,,
Eudromia elegans patagonica,,,
Taoniscus,,,
Taoniscus nanus,Dwarf Tinamou,Dwarf Tinamou,EN
Nothura,,,
Nothura boraquira,White-bellied Nothura,White-bellied Nothura,LC
Nothura minor,Lesser Nothura,Lesser Nothura,VU
Nothura darwinii,Darwin's Nothura,Darwin's Nothura,LC
Nothura darwinii peruviana,,,
Nothura darwinii agassizii,,,
Nothura darwinii boliviana,,,
Nothura darwinii salvadorii,,,
Nothura darwinii darwinii,,,
Nothura maculosa,Spotted Nothura,Spotted Nothura,LC
Nothura maculosa cearensis,,,
Nothura maculosa major,,,
Nothura maculosa paludivaga,,,
Nothura maculosa maculosa,,,
Nothura maculosa pallida,,,
Nothura maculosa annectens,,,
Nothura maculosa submontana,,,
Nothura maculosa nigroguttata,,,
Nothura maculosa chacoensis,,,
Rhynchotus,,,
Rhynchotus maculicollis,Huayco Tinamou,Huayco Tinamou,LC
Rhynchotus rufescens,Red-winged Tinamou,Red-winged Tinamou,LC
Rhynchotus rufescens catingae,,,
Rhynchotus rufescens pallescens,,,
Rhynchotus rufescens rufescens,,,
Nothoprocta,,,
Nothoprocta taczanowskii,Taczanowski's Tinamou,Taczanowski's Tinamou,VU
Nothoprocta ornata,Ornate Tinamou,Ornate Tinamou,LC
Nothoprocta ornata branickii,,,
Nothoprocta ornata ornata,,,
Nothoprocta ornata rostrata,,,
Nothoprocta perdicaria,Chilean Tinamou,Chilean Tinamou,LC
Nothoprocta perdicaria perdicaria,,,
Nothoprocta perdicaria sanborni,,,
Nothoprocta cinerascens,Brushland Tinamou,Brushland Tinamou,LC
Nothoprocta cinerascens cinerascens,,,
Nothoprocta cinerascens parvimaculata,,,
Nothoprocta pentlandii,Andean Tinamou,Andean Tinamou,LC
Nothoprocta pentlandii ambigua,,,
Nothoprocta pentlandii niethammeri,,,
Nothoprocta pentlandii oustaleti,,,
Nothoprocta pentlandii fulvescens,,,
Nothoprocta pentlandii pentlandii,,,
Nothoprocta pentlandii patriciae,,,
Nothoprocta pentlandii mendozae,,,
Nothoprocta pentlandii doeringi,,,
Nothoprocta curvirostris,Curve-billed Tinamou,Curve-billed Tinamou,LC
Nothoprocta curvirostris curvirostris,,,
Nothoprocta curvirostris peruviana,,,
Nothocercus,,,
Nothocercus julius,Tawny-breasted Tinamou,Tawny-breasted Tinamou,LC
Nothocercus bonapartei,Highland Tinamou,Highland Tinamou,LC
Nothocercus bonapartei frantzii,,,
Nothocercus bonapartei bonapartei,,,
Nothocercus bonapartei intercedens,,,
Nothocercus bonapartei discrepans,,,
Nothocercus bonapartei plumbeiceps,,,
Nothocercus nigrocapillus,Hooded Tinamou,Hooded Tinamou,LC
Nothocercus nigrocapillus cadwaladeri,,,
Nothocercus nigrocapillus nigrocapillus,,,
Tinamus,,,
Tinamus tao,Grey Tinamou,Gray Tinamou,VU
Tinamus tao larensis,,,
Tinamus tao septentrionalis,,,
Tinamus tao tao,,,
Tinamus tao kleei,,,
Tinamus solitarius,Solitary Tinamou,Solitary Tinamou,NT
Tinamus osgoodi,Black Tinamou,Black Tinamou,VU
Tinamus osgoodi hershkovitzi,,,
Tinamus osgoodi osgoodi,,,
Tinamus major,Great Tinamou,Great Tinamou,LC
Tinamus major robustus,,,
Tinamus major percautus,,,
Tinamus major fuscipennis,,,
Tinamus major brunneiventris,,,
Tinamus major castaneiceps,,,
Tinamus major saturatus,,,
Tinamus major zuliensis,,,
Tinamus major latifrons,,,
Tinamus major major,,,
Tinamus major serratus,,,
Tinamus major olivascens,,,
Tinamus major peruvianus,,,
Tinamus guttatus,White-throated Tinamou,White-throated Tinamou,NT
Crypturellus,,,
Crypturellus cinereus,Cinereous Tinamou,Cinereous Tinamou,LC
Crypturellus berlepschi,Berlepsch's Tinamou,Berlepsch's Tinamou,LC
Crypturellus soui,Little Tinamou,Little Tinamou,LC
Crypturellus soui meserythrus,,,
Crypturellus soui modestus,,,
Crypturellus soui capnodes,,,
Crypturellus soui poliocephalus,,,
Crypturellus soui panamensis,,,
Crypturellus soui mustelinus,,,
Crypturellus soui soui,,,
Crypturellus soui andrei,,,
Crypturellus soui caucae,,,
Crypturellus soui harterti,,,
Crypturellus soui caquetae,,,
Crypturellus soui nigriceps,,,
Crypturellus soui albigularis,,,
Crypturellus soui inconspicuus,,,
Crypturellus ptaritepui,Tepui Tinamou,Tepui Tinamou,LC
Crypturellus obsoletus,Brown Tinamou,Brown Tinamou,LC
Crypturellus obsoletus cerviniventris,,,
Crypturellus obsoletus knoxi,,,
Crypturellus obsoletus castaneus,,,
Crypturellus obsoletus ochraceiventris,,,
Crypturellus obsoletus traylori,,,
Crypturellus obsoletus punensis,,,
Crypturellus obsoletus griseiventris,,,
Crypturellus obsoletus hypochraceus,,,
Crypturellus obsoletus obsoletus,,,
Crypturellus undulatus,Undulated Tinamou,Undulated Tinamou,LC
Crypturellus undulatus manapiare,,,
Crypturellus undulatus simplex,,,
Crypturellus undulatus yapura,,,
Crypturellus undulatus adspersus,,,
Crypturellus undulatus vermiculatus,,,
Crypturellus undulatus undulatus,,,
Crypturellus transfasciatus,Pale-browed Tinamou,Pale-browed Tinamou,NT
Crypturellus strigulosus,Brazilian Tinamou,Brazilian Tinamou,LC
Crypturellus duidae,Grey-legged Tinamou,Gray-legged Tinamou,LC
Crypturellus erythropus,Red-legged Tinamou,Red-legged Tinamou,LC
Crypturellus erythropus cursitans,,,
Crypturellus erythropus idoneus,,,
Crypturellus erythropus columbianus,,,
Crypturellus erythropus saltuarius,,,
Crypturellus erythropus spencei,,,
Crypturellus erythropus margaritae,,,
Crypturellus erythropus erythropus,,,
Crypturellus noctivagus,Yellow-legged Tinamou,Yellow-legged Tinamou,NT
Crypturellus noctivagus zabele,,,
Crypturellus noctivagus noctivagus,,,
Crypturellus atrocapillus,Black-capped Tinamou,Black-capped Tinamou,LC
Crypturellus atrocapillus atrocapillus,,,
Crypturellus atrocapillus garleppi,,,
Crypturellus boucardi,Slaty-breasted Tinamou,Slaty-breasted Tinamou,VU
Crypturellus boucardi boucardi,,,
Crypturellus boucardi costaricensis,,,
Crypturellus kerriae,Choco Tinamou,Choco Tinamou,NT
Crypturellus variegatus,Variegated Tinamou,Variegated Tinamou,LC
Crypturellus cinnamomeus,Thicket Tinamou,Thicket Tinamou,LC
Crypturellus cinnamomeus occidentalis,,,
Crypturellus cinnamomeus mexicanus,,,
Crypturellus cinnamomeus soconuscensis,,,
Crypturellus cinnamomeus vicinior,,,
Crypturellus cinnamomeus sallaei,,,
Crypturellus cinnamomeus goldmani,,,
Crypturellus cinnamomeus cinnamomeus,,,
Crypturellus cinnamomeus delattrii,,,
Crypturellus cinnamomeus praepes,,,
Crypturellus brevirostris,Rusty Tinamou,Rusty Tinamou,LC
Crypturellus bartletti,Bartlett's Tinamou,Bartlett's Tinamou,LC
Crypturellus parvirostris,Small-billed Tinamou,Small-billed Tinamou,LC
Crypturellus casiquiare,Barred Tinamou,Barred Tinamou,LC
Crypturellus tataupa,Tataupa Tinamou,Tataupa Tinamou,LC
Crypturellus tataupa inops,,,
Crypturellus tataupa lepidotus,,,
Crypturellus tataupa peruvianus,,,
Crypturellus tataupa tataupa,,,
Anseriformes,,,
Anhimidae,,,
Anhima,,,
Anhima cornuta,Horned Screamer,Horned Screamer,LC
Chauna,,,
Chauna chavaria,Northern Screamer,Northern Screamer,LC
Chauna torquata,Southern Screamer,Southern Screamer,LC
Anseranatidae,,,
Anseranas,,,
Anseranas semipalmata,Magpie Goose,Magpie Goose,LC
Anatidae,,,
Thalassornis,,,
Thalassornis leuconotus,White-backed Duck,White-backed Duck,LC
Thalassornis leuconotus leuconotus,,,
Thalassornis leuconotus insularis,,,
Dendrocygna,,,
Dendrocygna guttata,Spotted Whistling Duck,Spotted Whistling-Duck,LC
Dendrocygna eytoni,Plumed Whistling Duck,Plumed Whistling-Duck,LC
Dendrocygna viduata,White-faced Whistling Duck,White-faced Whistling-Duck,LC
Dendrocygna autumnalis,Black-bellied Whistling Duck,Black-bellied Whistling-Duck,LC
Dendrocygna autumnalis fulgens,,,
Dendrocygna autumnalis autumnalis,,,
Dendrocygna arborea,West Indian Whistling Duck,West Indian Whistling-Duck,NT
Dendrocygna bicolor,Fulvous Whistling Duck,Rață de copac galbenă,LC
Dendrocygna arcuata,Wandering Whistling Duck,Wandering Whistling-Duck,LC
Dendrocygna arcuata arcuata,,,
Dendrocygna arcuata pygmaea,,,
Dendrocygna arcuata australis,,,
Dendrocygna javanica,Lesser Whistling Duck,Rață de copac mică,LC
Biziura,,,
Biziura lobata,Musk Duck,Musk Duck,LC
Biziura lobata lobata,,,
Biziura lobata menziesi,,,
Nettapus,,,
Nettapus pulchellus,Green Pygmy Goose,Green Pygmy-Goose,LC
Nettapus coromandelianus,Cotton Pygmy Goose,Gâscă mică indiană,LC
Nettapus coromandelianus coromandelianus,,,
Nettapus coromandelianus albipennis,,,
Nettapus auritus,African Pygmy Goose,African Pygmy-Goose,LC
Stictonetta,,,
Stictonetta naevosa,Freckled Duck,Freckled Duck,LC
Heteronetta,,,
Heteronetta atricapilla,Black-headed Duck,Black-headed Duck,LC
Nomonyx,,,
Nomonyx dominicus,Masked Duck,Masked Duck,LC
Oxyura,,,
Oxyura leucocephala,White-headed Duck,Rață cu cap alb,EN
Oxyura australis,Blue-billed Duck,Blue-billed Duck,LC
Oxyura maccoa,Maccoa Duck,Maccoa Duck,EN
Oxyura vittata,Lake Duck,Lake Duck,LC
Oxyura jamaicensis,Ruddy Duck,,NE
Oxyura jamaicensis jamaicensis,,,
Oxyura jamaicensis ferruginea,,,
Oxyura jamaicensis andina,,,
Plectropterus,,,
Plectropterus gambensis,Spur-winged Goose,Gâscă de Gambia,LC
Plectropterus gambensis gambensis,,,
Plectropterus gambensis niger,,,
Malacorhynchus,,,
Malacorhynchus membranaceus,Pink-eared Duck,Pink-eared Duck,LC
Coscoroba,,,
Coscoroba coscoroba,Coscoroba Swan,Coscoroba Swan,LC
Cereopsis,,,
Cereopsis novaehollandiae,Cape Barren Goose,Cape Barren Goose,LC
